Week #,Start,End,Special Events
1,9/14/1989,9/20/1989,   
2,9/21/1989,9/27/1989,  
3,9/28/1989,10/4/1989,  
4,10/5/1989,10/11/1989,  
5,10/12/1989,10/18/1989,  
6,10/19/1989,10/25/1989,  
7,10/26/1989,11/1/1989,Halloween  
8,11/2/1989,11/8/1989,  
9,11/9/1989,11/15/1989,  
10,11/16/1989,11/22/1989,  
11,11/23/1989,11/29/1989,Thanksgiving  
12,11/30/1989,12/6/1989,  
13,12/7/1989,12/13/1989,  
14,12/14/1989,12/20/1989,  
15,12/21/1989,12/27/1989,Christmas  
16,12/28/1989,1/3/1990,New-Year  
17,1/4/1990,1/10/1990,  
18,1/11/1990,1/17/1990,  
19,1/18/1990,1/24/1990,  
20,1/25/1990,1/31/1990,  
21,2/1/1990,2/7/1990,  
22,2/8/1990,2/14/1990,  
23,2/15/1990,2/21/1990,Presidents Day 
24,2/22/1990,2/28/1990,  
25,3/1/1990,3/7/1990,  
26,3/8/1990,3/14/1990,  
27,3/15/1990,3/21/1990,  
28,3/22/1990,3/28/1990,Easter  
29,3/29/1990,4/4/1990,  
30,4/5/1990,4/11/1990,  
31,4/12/1990,4/18/1990,  
32,4/19/1990,4/25/1990,  
33,4/26/1990,5/2/1990,  
34,5/3/1990,5/9/1990,  
35,5/10/1990,5/16/1990,  
36,5/17/1990,5/23/1990,  
37,5/24/1990,5/30/1990,Memorial Day 
38,5/31/1990,6/6/1990,  
39,6/7/1990,6/13/1990,  
40,6/14/1990,6/20/1990,  
41,6/21/1990,6/27/1990,  
42,6/28/1990,7/4/1990,4th of July
43,7/5/1990,7/11/1990,  
44,7/12/1990,7/18/1990,  
45,7/19/1990,7/25/1990,  
46,7/26/1990,8/1/1990,  
47,8/2/1990,8/8/1990,  
48,8/9/1990,8/15/1990,  
49,8/16/1990,8/22/1990,  
50,8/23/1990,8/29/1990,  
51,8/30/1990,9/5/1990,Labor Day 
52,9/6/1990,9/12/1990,  
53,9/13/1990,9/19/1990,  
54,9/20/1990,9/26/1990,  
55,9/27/1990,10/3/1990,  
56,10/4/1990,10/10/1990,  
57,10/11/1990,10/17/1990,  
58,10/18/1990,10/24/1990,  
59,10/25/1990,10/31/1990,Halloween  
60,11/1/1990,11/7/1990,  
61,11/8/1990,11/14/1990,  
62,11/15/1990,11/21/1990,  
63,11/22/1990,11/28/1990,Thanksgiving  
64,11/29/1990,12/5/1990,  
65,12/6/1990,12/12/1990,  
66,12/13/1990,12/19/1990,  
67,12/20/1990,12/26/1990,Christmas  
68,12/27/1990,1/2/1991,New-Year  
69,1/3/1991,1/9/1991,  
70,1/10/1991,1/16/1991,  
71,1/17/1991,1/23/1991,  
72,1/24/1991,1/30/1991,  
73,1/31/1991,2/6/1991,  
74,2/7/1991,2/13/1991,  
75,2/14/1991,2/20/1991,Presidents Day 
76,2/21/1991,2/27/1991,  
77,2/28/1991,3/6/1991,  
78,3/7/1991,3/13/1991,  
79,3/14/1991,3/20/1991,  
80,3/21/1991,3/27/1991,  
81,3/28/1991,4/3/1991,Easter  
82,4/4/1991,4/10/1991,  
83,4/11/1991,4/17/1991,  
84,4/18/1991,4/24/1991,  
85,4/25/1991,5/1/1991,  
86,5/2/1991,5/8/1991,  
